ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CCDD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,Informal_P,DIVISION_LIMA,FAC300_ANUAL
2025,01,0003302,3,0032,1,3,20231000033023003213,24,1,3,3,1,2,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2025,01,0003302,3,0032,1,3,20231000033023003214,24,1,4,3,1,2,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2025,01,0003302,3,0032,1,3,20231000033023003215,24,1,5,3,1,2,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2025,01,0003302,3,0087,1,3,20231000033023008712,24,1,1,1,1,2,,1,33,1,1,7,9,1991,1,,,,,,,,,,,,,,,,7421,9512,2,,2,2,1,1,0,6,6,6,6,6,6,36,,36,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,1,,,,,,,1500,,,1500,1500,1500,1,2,,
2025,01,0003302,3,0087,1,3,20231000033023008711,24,1,2,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,
2025,01,0003302,5,0050,1,3,20250100033025005011,24,1,1,1,1,1,,1,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2025,01,0003302,5,0050,1,3,20250100033025005012,24,1,2,2,1,2,,2,76,2,2,4,12,1948,2,2,1,,,,,,,,,,,,,,5212,4771,2,,2,2,1,2,0,0,0,0,0,0,0,0,,36,2,36,1,2,2,2,,,,,,,,,,,,,,,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,9,5,,2,2,2,2,2,2,10,7,1,,,,,,,2895,,,2895,2895,2895,1,2,,8.2484094905397
2025,01,0003302,5,0050,1,3,20250100033025005013,24,1,3,3,1,2,,2,41,3,3,2,1,1984,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,5223,4771,4,,2,2,1,2,0,4,5,4,5,4,5,27,,27,1,,2,,2,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,10,3,,2,2,2,2,2,2,10,7,1,,,,,,,,,,0,0,0,1,1,,13.786807176887976
2025,01,0003302,5,0050,1,3,20250100033025005014,24,1,4,5,1,2,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2025,01,0003302,5,0051,1,3,20250100033025005111,24,1,1,1,1,2,,1,65,1,1,15,1,1960,2,1,,,,,,,,,,,,,,,2411,8412,3,2,,,5,9998,0,0,0,0,0,0,0,0,,40,2,40,2,,2,2,4,4500,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,,,83,4500,,,,4500,4500,4583,1,2,,8.874220168797525
